model,forecast_date,target_date,h,mean,actual,lower_50,upper_50,lower_80,upper_80,lower_90,upper_90,lower_95,upper_95
TimesFM (Google FM),2021-01-30,2021-02-06,1,22353.6,21367,21045.661711685272,23661.538288314725,19868.476452105944,24838.723547894053,19163.97845758553,25543.221542414467,18552.931511927964,26154.268488072034
TimesFM (Google FM),2021-01-30,2021-02-13,2,22850.2,17536,21000.495933918264,24699.904066081737,19335.704574395488,26364.695425604514,18339.39395588007,27361.00604411993,17475.243078084484,28225.156921915517
TimesFM (Google FM),2021-01-30,2021-02-20,3,23346.8,13132,21081.384431474224,25612.215568525775,19042.43975196167,27651.16024803833,17822.21343162193,28871.386568378068,16763.84907593325,29929.75092406675
TimesFM (Google FM),2021-01-30,2021-02-27,4,23843.4,14028,21227.523423370552,26459.27657662945,18873.152904211893,28813.64709578811,17464.156915171065,30222.64308482894,16242.063023855932,31444.73697614407
Chronos (Amazon FM),2021-01-30,2021-02-06,1,21768.566666666666,21367,20322.950663792497,23214.182669540834,19021.85116636271,24515.28216697062,18243.19548820857,25293.93784512476,17567.827811429153,25969.305521904178
Chronos (Amazon FM),2021-01-30,2021-02-13,2,21680.133333333335,17536,19635.7235760851,23724.54309058157,17795.69102082308,25564.57564584359,16694.505600358672,26665.761066307998,15739.391472268815,27620.875194397857
Chronos (Amazon FM),2021-01-30,2021-02-20,3,21591.7,13132,19087.8196347873,24095.5803652127,16834.249199536585,26349.150800463416,15485.578003371611,27697.82199662839,14315.806873399906,28867.593126600095
Chronos (Amazon FM),2021-01-30,2021-02-27,4,21503.266666666666,14028,18612.034660918325,24394.498672415008,16009.835666058758,26996.697667274573,14452.524309750474,28554.00902358286,13101.788956191642,29904.74437714169
ARIMAX + MAPIE (Conformal),2021-01-30,2021-02-06,1,22201.66302126815,21367,21527.972881022586,22875.35316151371,20622.90765311211,23780.418389424187,19716.13130992739,24687.194732608907,18868.845715765143,25534.480326771154
ARIMAX + MAPIE (Conformal),2021-01-30,2021-02-13,2,21077.48978941574,17536,20403.799649170178,21751.179929661303,19498.7344212597,22656.24515757178,18591.958078074982,23563.0215007565,17744.672483912735,24410.307094918746
ARIMAX + MAPIE (Conformal),2021-01-30,2021-02-20,3,19232.16193515591,13132,18558.471794910347,19905.85207540147,17653.40656699987,20810.917303311948,16746.630223815155,21717.693646496664,15899.344629652904,22564.979240658915
ARIMAX + MAPIE (Conformal),2021-01-30,2021-02-27,4,18048.026083416695,14028,17374.335943171132,18721.716223662257,16469.270715260656,19626.781451572733,15562.494372075938,20533.55779475745,14715.20877791369,21380.8433889197
ARIMAX + MultiQT (Tracking),2021-01-30,2021-02-06,1,22201.66302126815,21367,21250.683056506175,23152.64298603012,19828.908736621954,24574.417305914343,19622.07706547244,24781.248977063857,18959.928794241976,25443.39724829432
ARIMAX + MultiQT (Tracking),2021-01-30,2021-02-13,2,21077.48978941574,17536,19550.881729218876,22604.097849612604,18644.59348651625,23510.38609231523,16837.454650562304,25317.524928269177,16310.043028374508,25844.936550456972
ARIMAX + MultiQT (Tracking),2021-01-30,2021-02-20,3,19232.16193515591,13132,16785.786271434532,21678.537598877287,14774.117703989235,23690.206166322583,13123.893985596616,25340.429884715202,12661.751325289217,25802.572545022602
ARIMAX + MultiQT (Tracking),2021-01-30,2021-02-27,4,18048.026083416695,14028,14420.439987438665,21675.612179394724,11726.76666463645,24369.285502196937,11139.425990571046,24956.626176262344,10438.296283989479,25657.75588284391
Empirical Baseline,2021-02-06,2021-02-13,1,21367.0,17536,20784.0,22556.0,19848.2,23837.4,19354.2,25545.399999999994,19083.8,27132.199999999997
Empirical Baseline,2021-02-06,2021-02-20,2,21367.0,13132,20409.0,23472.75,19298.8,26467.400000000005,18031.55,27874.35,17906.675,29254.399999999994
Empirical Baseline,2021-02-06,2021-02-27,3,21367.0,14028,20060.5,24219.5,18231.4,28622.199999999997,16707.6,29694.1,15920.5,33422.65000000001
Empirical Baseline,2021-02-06,2021-03-06,4,21367.0,11895,20040.0,26237.75,16845.0,29771.0,15282.25,33322.75,14554.75,35804.625
"ARIMA(1,1,0)",2021-02-06,2021-02-13,1,21388.50254390529,17536,20279.399348214567,22497.605739596016,19281.171874499625,23495.833213310958,18683.772911520202,24093.23217629038,18165.61840361976,24611.386684190824
"ARIMA(1,1,0)",2021-02-06,2021-02-20,2,21638.977043746938,13132,19687.56101168031,23590.393075813565,17931.22570994714,25346.728377546737,16880.129726789317,26397.82436070456,15968.460715525849,27309.493371968027
"ARIMA(1,1,0)",2021-02-06,2021-02-27,3,21991.949873714257,14028,19318.18533576528,24665.714411663233,16911.713845650076,27072.185901778437,15471.537522628023,28512.36222480049,14222.399341631444,29761.50040579707
"ARIMA(1,1,0)",2021-02-06,2021-03-06,4,22390.805648759226,11895,19094.807006111907,25686.804291406545,16128.305411669504,28653.305885848946,14352.973613195307,30428.637684323145,12813.138040313519,31968.473257204932
"ARIMA(2,1,0)",2021-02-06,2021-02-13,1,21394.381155994113,17536,20275.385293480613,22513.377018507614,19268.25411103129,23520.508200956938,18665.52663676095,24123.235675227275,18142.750439977728,24646.0118720105
"ARIMA(2,1,0)",2021-02-06,2021-02-20,2,21608.110852274076,13132,19661.2195091469,23555.00219540125,17908.95656860331,25307.265135944843,16860.297729699276,26355.923974848876,15950.742577614945,27265.479126933205
"ARIMA(2,1,0)",2021-02-06,2021-02-27,3,21928.260762120804,14028,19240.1659496846,24616.35557455701,16820.79676550936,27035.72475873225,15372.901691742434,28483.619832499175,14117.068645602685,29739.452878638924
"ARIMA(2,1,0)",2021-02-06,2021-03-06,4,22303.395357690602,11895,18959.46412742859,25647.326587952615,15949.821708913962,28656.969006467243,14148.671863710486,30458.11885167072,12586.442985639076,32020.347729742127
Holt ETS,2021-02-06,2021-02-13,1,21334.38792577663,17536,20074.110078984035,22594.665772569228,18939.820703504243,23728.95514804902,18260.99416899863,24407.781682554632,17672.21338641693,24996.562465136332
Holt ETS,2021-02-06,2021-02-20,2,21301.700603958787,13132,19141.50286417978,23461.898343737794,17197.257512725915,25406.14369519166,16033.704928450132,26569.69627946744,15024.496586817182,27578.90462110039
Holt ETS,2021-02-06,2021-02-27,3,21269.013282140942,14028,18150.764659992896,24387.26190428899,15344.243628770546,27193.78293551134,13664.653757944214,28873.37280633767,12207.86002892235,30330.166535359534
Holt ETS,2021-02-06,2021-03-06,4,21236.325960323098,11895,17083.248115069975,25389.40380557622,13345.348502377361,29127.303418268835,11108.366039819499,31364.285880826697,9168.117363645426,33304.53455700077
Damped ETS,2021-02-06,2021-02-13,1,21187.487998694523,17536,20007.263600875893,22367.712396513154,18945.024826676425,23429.951170712622,18309.31767690055,24065.658320488496,17757.9365300065,24617.039467382547
Damped ETS,2021-02-06,2021-02-20,2,21043.83981765821,13132,19052.07922070868,23035.600414607736,17259.432552064234,24828.247083252183,16186.60567739285,25901.073957923567,15256.088358555677,26831.59127676074
Damped ETS,2021-02-06,2021-02-27,3,20928.921272829157,14028,18145.79683001584,23712.045715642475,15640.898014127348,26216.944531530964,14141.81689846623,27716.025647192084,12841.58759456135,29016.254951096962
Damped ETS,2021-02-06,2021-03-06,4,20836.986436965915,11895,17279.743604091604,24394.229269840227,14078.114089139885,27595.858784791948,12162.067694465459,29511.905179466372,10500.183194707559,31173.789679224272
ARIMAX (ARIMA+Cases),2021-02-06,2021-02-13,1,20031.878881796252,17536,18060.752698873115,22218.131116982295,16453.07915070926,24389.123024285487,15560.242258611932,25788.555529260186,14825.17131195103,27067.21987161616
ARIMAX (ARIMA+Cases),2021-02-06,2021-02-20,2,18056.77067877477,13132,15228.779016815726,21409.921766271404,13064.273961363113,24957.144064042637,11919.00344664173,27355.22049351588,11007.28118018687,29621.026483156023
ARIMAX (ARIMA+Cases),2021-02-06,2021-02-27,3,16826.652304801777,14028,13273.455383274673,21331.01137654473,10721.817904968044,26407.48334808945,9435.868763709192,30006.376188236805,8446.08791618244,33522.76587652027
ARIMAX (ARIMA+Cases),2021-02-06,2021-03-06,4,15402.851649563308,11895,11433.787130675159,20749.716277466305,8744.120592237185,27132.269784691434,7447.511100840567,31855.989971156676,6479.66398235973,36614.21943859124
LightGBM (skforecast),2021-02-06,2021-02-13,1,15261.60659847561,17536,14032.97664449669,16490.236552454528,12927.171359780084,17596.041837171135,12265.391407072118,18257.8217898791,11691.395991975314,18831.817204975905
LightGBM (skforecast),2021-02-06,2021-02-20,2,15261.60659847561,13132,13524.06145442079,16999.15174253043,11960.216623430726,18562.996573520493,11024.318439004493,19498.894757946728,10212.566338234617,20310.646858716602
LightGBM (skforecast),2021-02-06,2021-02-27,3,15261.60659847561,14028,13133.557094483109,17389.65610246811,11218.246158075783,19304.96703887544,10072.009656555056,20451.203540396164,9077.820434295802,21445.392762655418
LightGBM (skforecast),2021-02-06,2021-03-06,4,15261.60659847561,11895,12804.34669051777,17718.86650643345,10592.736121084561,19930.477075866656,9269.176215668627,21254.036981282592,8121.185385475017,22402.027811476204
XGBoost (sktime),2021-02-06,2021-02-13,1,21909.568359375,17536,20680.938405396082,23138.198313353918,19575.133120679475,24244.003598070525,18913.35316797151,24905.78355077849,18339.357752874705,25479.778965875295
XGBoost (sktime),2021-02-06,2021-02-20,2,21909.568359375,13132,20172.02321532018,23647.11350342982,18608.178384330116,25210.958334419884,17672.280199903886,26146.856518846114,16860.528099134008,26958.608619615992
XGBoost (sktime),2021-02-06,2021-02-27,3,21909.568359375,14028,19781.5188553825,24037.6178633675,17866.20791897517,25952.92879977483,16719.971417454446,27099.165301295554,15725.782195195192,28093.354523554808
XGBoost (sktime),2021-02-06,2021-03-06,4,21909.568359375,11895,19452.30845141716,24366.82826733284,17240.69788198395,26578.43883676605,15917.137976568018,27901.998742181982,14769.147146374407,29049.98957237559
N-BEATS (Neural),2021-02-06,2021-02-13,1,21523.985714285714,17536,20233.92426260785,22814.04716596358,19072.828713655414,23975.142714916015,18377.95976331205,24670.01166525938,17775.264577460403,25272.706851111026
N-BEATS (Neural),2021-02-06,2021-02-20,2,21680.97142857143,13132,19856.549027313868,23505.39382982899,18214.5119547743,25147.430902368556,17231.818861126758,26130.1239960161,16379.479155318386,26982.463701824472
N-BEATS (Neural),2021-02-06,2021-02-27,3,21837.957142857143,14028,19603.505163665017,24072.40912204927,17592.428680437326,26083.48560527696,16388.880353840563,27287.033931873724,15344.981670468344,28330.932615245943
N-BEATS (Neural),2021-02-06,2021-03-06,4,21994.942857142858,11895,19414.819953787126,24575.06576049859,17092.628855882256,26897.25685840346,15702.890955195526,28286.99475909019,14497.500583492234,29492.385130793482
N-HiTS (Neural),2021-02-06,2021-02-13,1,21572.28,17536,20343.65004602108,22800.909953978917,19237.844761304474,23906.715238695524,18576.064808596508,24568.49519140349,18002.069393499703,25142.490606500294
N-HiTS (Neural),2021-02-06,2021-02-20,2,21777.56,13132,20040.01485594518,23515.10514405482,18476.170024955118,25078.949975044885,17540.271840528883,26014.84815947112,16728.51973975901,26826.600260240994
N-HiTS (Neural),2021-02-06,2021-02-27,3,21982.84,14028,19854.7904960075,24110.8895039925,17939.47955960017,26026.20044039983,16793.243058079446,27172.436941920554,15799.053835820192,28166.62616417981
N-HiTS (Neural),2021-02-06,2021-03-06,4,22188.12,11895,19730.86009204216,24645.37990795784,17519.249522608952,26856.990477391046,16195.689617193017,28180.55038280698,15047.698786999406,29328.541213000593
TimesFM (Google FM),2021-02-06,2021-02-13,1,21225.7875,17536,19925.1350045212,22526.4399954788,18754.507185768725,23697.06781423127,18053.933555637104,24397.641444362893,17446.29041083074,25005.284589169256
TimesFM (Google FM),2021-02-06,2021-02-20,2,21084.575,13132,19245.17460095947,22923.97539904053,17589.65686318849,24579.49313681151,16598.8961340154,25570.253865984603,15739.5589575472,26429.5910424528
TimesFM (Google FM),2021-02-06,2021-02-27,3,20943.3625,14028,18690.56629483947,23196.158705160527,16662.979436006655,25223.745563993343,15449.55031417572,26437.174685824277,14397.081514500165,27489.643485499833
TimesFM (Google FM),2021-02-06,2021-03-06,4,20802.15,11895,18200.845009042405,23403.454990957598,15859.589371537455,25744.710628462548,14458.442111274213,27145.85788872579,13243.155821661487,28361.144178338516
Chronos (Amazon FM),2021-02-06,2021-02-13,1,20886.8,17536,19449.23671552343,22324.363284476567,18155.384915849645,23618.215084150354,17381.06669307259,24392.53330692741,16709.46111197082,25064.138888029178
Chronos (Amazon FM),2021-02-06,2021-02-20,2,20406.6,13132,18373.578506323625,22439.62149367637,16543.79574352412,24269.40425647588,15448.744411280175,25364.455588719822,14498.950689920588,26314.24931007941
Chronos (Amazon FM),2021-02-06,2021-02-27,3,19926.4,14028,17436.467352190997,22416.332647809006,15195.450297691568,24657.349702308435,13854.29179461527,25998.508205384733,12691.036805500184,27161.76319449982
Chronos (Amazon FM),2021-02-06,2021-03-06,4,19446.2,11895,16571.073431046865,22321.326568953136,13983.369831699292,24909.03016830071,12434.73338614518,26457.66661385482,11091.52222394164,27800.87777605836
ARIMAX + MAPIE (Conformal),2021-02-06,2021-02-13,1,20031.878881796252,17536,19347.236328241648,20716.521435350856,18482.4866479049,21581.271115687603,17558.57853969215,22505.179223900355,16705.71882190461,23358.038941687893
ARIMAX + MAPIE (Conformal),2021-02-06,2021-02-20,2,18056.77067877477,13132,17372.128125220166,18741.413232329374,16507.37844488342,19606.16291266612,15583.470336670665,20530.071020878873,14730.610618883129,21382.93073866641
ARIMAX + MAPIE (Conformal),2021-02-06,2021-02-27,3,16826.652304801777,14028,16142.009751247173,17511.29485835638,15277.260070910428,18376.044538693124,14353.351962697672,19299.95264690588,13500.492244910136,20152.81236469342
ARIMAX + MAPIE (Conformal),2021-02-06,2021-03-06,4,15402.851649563308,11895,14718.209096008704,16087.494203117913,13853.45941567196,16952.243883454656,12929.551307459204,17876.15199166741,12076.691589671667,18729.01170945495
ARIMAX + MultiQT (Tracking),2021-02-06,2021-02-13,1,20031.878881796252,17536,19163.580819768657,20900.176943823848,17659.12459715006,22404.633166442443,17452.292926000548,22611.464837591957,16790.14465477008,23273.613108822425
ARIMAX + MultiQT (Tracking),2021-02-06,2021-02-20,2,18056.77067877477,13132,16310.488610369994,19803.052747179547,15206.15220016599,20907.38915738355,13816.735539921334,22296.805817628207,13289.323917733538,22824.217439816002
ARIMAX + MultiQT (Tracking),2021-02-06,2021-02-27,3,16826.652304801777,14028,13960.269967431983,19693.03464217157,11793.085038707937,21860.219570895617,10687.82297847515,22965.481631128405,10256.241694935085,23397.06291466847
ARIMAX + MultiQT (Tracking),2021-02-06,2021-03-06,4,15402.851649563308,11895,11531.850958122499,19273.852341004116,9081.592230783064,21724.111068343555,8494.25155671766,22311.451742408957,7793.121850136092,23012.581448990524
Empirical Baseline,2021-02-13,2021-02-20,1,17536.0,13132,16920.0,18652.0,15814.2,19960.2,15321.3,21652.449999999997,15070.9,23267.1
Empirical Baseline,2021-02-13,2021-02-27,2,17536.0,14028,16425.0,19568.0,14881.400000000001,22534.600000000002,14089.4,24024.399999999998,13792.2,25385.599999999995
Empirical Baseline,2021-02-13,2021-03-06,3,17536.0,11895,16164.75,20351.75,14009.2,24727.9,12854.9,25829.449999999997,12104.25,29487.92499999998
Empirical Baseline,2021-02-13,2021-03-13,4,17536.0,8698,16012.5,22371.5,12517.0,25909.6,11337.6,29309.499999999985,10737.5,31928.75
"ARIMA(1,1,0)",2021-02-13,2021-02-20,1,15928.198888107374,13132,14770.752977595897,17085.64479861885,13729.015552529689,18127.38222368506,13105.57763500236,18750.82014121239,12564.8382173245,19291.559558890247
"ARIMA(1,1,0)",2021-02-13,2021-02-27,2,15361.633969591185,14028,13305.39847730051,17417.86946188186,11454.722391605883,19268.545547576487,10347.167246594407,20376.100692587963,9386.52833240233,21336.73960678004
"ARIMA(1,1,0)",2021-02-13,2021-03-06,3,15282.732487844713,11895,12446.542875403215,18118.92210028621,9893.883751523546,20671.58122416588,8366.220013948281,22199.244961741144,7041.199548173005,23524.26542751642
"ARIMA(1,1,0)",2021-02-13,2021-03-13,4,15432.22839477418,8698,11919.603148989056,18944.853640559304,8758.130854227798,22106.32593532056,6866.116939453608,23998.33985009475,5225.077031949819,25639.37975759854
"ARIMA(2,1,0)",2021-02-13,2021-02-20,1,15979.924344063907,13132,14811.93558757807,17147.913100549747,13760.709272259228,18199.139415868587,13131.59263585668,18828.256052271136,12585.927776444509,19373.920911683308
"ARIMA(2,1,0)",2021-02-13,2021-02-27,2,15273.826346883807,14028,13220.322701129357,17327.329992638257,11372.105362535112,19175.5473312325,10266.021678695239,20281.631015072373,9306.65903762467,21240.993656142942
"ARIMA(2,1,0)",2021-02-13,2021-03-06,3,15059.078689841344,11895,12207.184655928915,17910.972723753774,9640.391062838455,20477.766316844234,8104.268414372502,22013.888965310187,6771.911104910589,23346.2462747721
"ARIMA(2,1,0)",2021-02-13,2021-03-13,4,15105.428290058147,8698,11543.478224639202,18667.378355477093,8337.612053558933,21873.244526557362,6419.030190722848,23791.82638939345,4754.946550459166,25455.910029657127
Holt ETS,2021-02-13,2021-02-20,1,15691.056924348455,13132,14394.379867552774,16987.733981144134,13227.330067625759,18154.78378107115,12528.89773774096,18853.216110955953,11923.111851558087,19459.00199713882
Holt ETS,2021-02-13,2021-02-27,2,13845.746075764346,14028,11551.146222050513,16140.345929478179,9485.93477548811,18205.557376040582,8249.988852342805,19441.503299185886,7177.9900855472015,20513.50206598149
Holt ETS,2021-02-13,2021-03-06,3,12000.435227180236,11895,8614.651571162336,15386.218883198137,5567.34066391423,18433.529790446242,3743.6477444126303,20257.22270994784,2161.8661113259623,21839.00434303451
Holt ETS,2021-02-13,2021-03-13,4,10155.124378596127,8698,5573.842655053303,14736.40610213895,1450.5461944200706,18859.70256277218,-1017.0807688731111,21327.329526065365,-3157.379152503019,23467.62790969527
Damped ETS,2021-02-13,2021-02-20,1,15967.525117724066,13132,14749.410425320628,17185.639810127504,13653.069204037187,18281.981031410945,12996.953112352305,18938.097123095828,12427.870252018893,19507.17998342924
Damped ETS,2021-02-13,2021-02-27,2,14712.454865740096,14028,12628.902335640816,16796.007395839377,10753.640063785146,18671.269667695047,9631.371075984345,19793.538655495846,8657.970097506448,20766.939633973743
Damped ETS,2021-02-13,2021-03-06,3,13708.398664152919,11895,10772.581835525001,16644.215492780837,8130.255109285673,19286.542219020164,6548.928920943392,20867.868407362446,5177.364282022516,22239.433046283324
Damped ETS,2021-02-13,2021-03-13,4,12905.153702883177,8698,9131.712502375427,16678.594903390927,5735.497712417253,20074.809693349103,3702.9998629783986,22107.307542787956,1940.111093081132,23870.19631268522
ARIMAX (ARIMA+Cases),2021-02-13,2021-02-20,1,15099.564170938178,13132,13618.084752833753,16742.210251323093,12409.40881589353,18372.900879876706,11738.005267345508,19423.81460558335,11185.15187599917,20383.88398118313
ARIMAX (ARIMA+Cases),2021-02-13,2021-02-27,2,13464.800648391687,14028,11357.544621120785,15963.03272837488,9744.469877744981,18605.512539475872,8890.883999800739,20391.7694241644,8211.317913145163,22079.385845077562
ARIMAX (ARIMA+Cases),2021-02-13,2021-03-06,3,12001.91036231602,11895,9465.464997484596,15218.042894178809,7644.360415442062,18843.41455880174,6726.724052115891,21413.9678139107,6020.507147438219,23925.86684435073
ARIMAX (ARIMA+Cases),2021-02-13,2021-03-13,4,10657.15780388968,8698,7905.566189398621,14366.461520404579,6042.147977753916,18797.12527319244,5144.298913789393,22077.840802090002,4474.335927180821,25383.657889220623
LightGBM (skforecast),2021-02-13,2021-02-20,1,15872.009458046952,13132,14590.723403502885,17153.29551259102,13437.525985712413,18306.492930381493,12747.383748958759,18996.635167135144,12148.788282232585,19595.23063386132
LightGBM (skforecast),2021-02-13,2021-02-27,2,15872.009458046952,14028,14059.99734243122,17684.021573662685,12429.129914098301,19314.8890019956,11453.121402914781,20290.897513179123,10606.579575495572,21137.439340598332
LightGBM (skforecast),2021-02-13,2021-03-06,3,15872.009458046952,11895,13652.75691254716,18091.262003546744,11655.36039377683,20088.658522317077,10459.998975270271,21284.019940823633,9423.201213720133,22320.817702373773
LightGBM (skforecast),2021-02-13,2021-03-13,4,15872.009458046952,8698,13309.437348958818,18434.581567135087,11003.042513377874,20740.97640271603,9622.758039870565,22121.26087622334,8425.567106418217,23318.451809675687
XGBoost (sktime),2021-02-13,2021-02-20,1,21966.3671875,13132,20685.081132955933,23247.653242044067,19531.88371516546,24400.85065983454,18841.74147841181,25090.99289658819,18243.146011685632,25689.588363314368
XGBoost (sktime),2021-02-13,2021-02-27,2,21911.125,14028,20099.112884384267,23723.137115615733,18468.24545605135,25354.00454394865,17492.23694486783,26330.01305513217,16645.69511744862,27176.55488255138
XGBoost (sktime),2021-02-13,2021-03-06,3,21737.90625,11895,19518.653704500208,23957.158795499792,17521.257185729875,25954.555314270125,16325.89576722332,27149.91673277668,15289.09800567318,28186.71449432682
XGBoost (sktime),2021-02-13,2021-03-13,4,21760.9140625,8698,19198.341953411866,24323.486171588134,16891.94711783092,26629.88100716908,15511.662644323613,28010.165480676387,14314.471710871265,29207.356414128735
N-BEATS (Neural),2021-02-13,2021-02-20,1,17607.55,13132,16262.199642728729,18952.900357271268,15051.342354048733,20163.757645951264,14326.693005457397,20888.4069945426,13698.167765394914,21516.932234605087
N-BEATS (Neural),2021-02-13,2021-02-27,2,17679.1,14028,15776.48727860348,19581.712721396518,14064.076478853915,21294.12352114608,13039.267542111218,22318.93245788878,12150.398623321049,23207.801376678948
N-BEATS (Neural),2021-02-13,2021-03-06,3,17750.65,11895,15420.434827225221,20080.865172774782,13323.168482516372,22178.13151748363,12068.038993084487,23433.261006915516,10979.40134345684,24521.898656543162
N-BEATS (Neural),2021-02-13,2021-03-13,4,17822.2,8698,15131.49928545746,20512.900714542542,12709.784708097468,22934.615291902533,11260.486010914796,24383.913989085206,10003.43553078983,25640.964469210172
N-HiTS (Neural),2021-02-13,2021-02-20,1,17160.0,13132,15878.713945455933,18441.286054544067,14725.51652766546,19594.48347233454,14035.374290911806,20284.62570908819,13436.778824185632,20883.221175814368
N-HiTS (Neural),2021-02-13,2021-02-27,2,16784.0,14028,14971.987884384267,18596.012115615733,13341.120456051349,20226.87954394865,12365.11194486783,21202.88805513217,11518.57011744862,22049.42988255138
N-HiTS (Neural),2021-02-13,2021-03-06,3,16408.0,11895,14188.747454500208,18627.252545499792,12191.350935729877,20624.649064270125,10995.98951722332,21820.01048277668,9959.19175567318,22856.80824432682
N-HiTS (Neural),2021-02-13,2021-03-13,4,16032.0,8698,13469.427890911866,18594.572109088134,11163.033055330921,20900.96694466908,9782.748581823613,22281.251418176387,8585.557648371265,23478.442351628735
TimesFM (Google FM),2021-02-13,2021-02-20,1,16579.0375,13132,15008.877784052049,18149.19721594795,13595.685059813652,19562.389940186345,12749.946097322252,20408.128902677745,12016.393675777359,21141.681324222638
TimesFM (Google FM),2021-02-13,2021-02-27,2,15622.075,14028,13401.533834614524,17842.616165385476,11402.977517749601,19841.1724822504,10206.922006766912,21037.22799323309,9169.522223506501,22074.6277764935
TimesFM (Google FM),2021-02-13,2021-03-06,3,14665.1125,11895,11945.516095980234,17384.708904019764,9497.794496712657,19832.43050328734,8032.931643736963,21297.293356263035,6762.381579606028,22567.84342039397
TimesFM (Google FM),2021-02-13,2021-03-13,4,13708.15,8698,10567.8305681041,16848.469431895897,7741.445119627307,19674.85488037269,6049.967194644506,21366.332805355494,4582.862351554722,22833.437648445277
Chronos (Amazon FM),2021-02-13,2021-02-20,1,16558.1,13132,14822.660313952265,18293.539686047734,13260.710460846669,19855.48953915333,12325.946344408803,20790.253655591194,11515.177878490766,21601.02212150923
Chronos (Amazon FM),2021-02-13,2021-02-27,2,15580.2,14028,13125.91765931079,18034.48234068921,10916.986993302191,20243.41300669781,9595.030902216062,21565.36909778394,8448.431141770343,22711.96885822966
Chronos (Amazon FM),2021-02-13,2021-03-06,3,14602.3,11895,11596.430290293943,17608.169709706053,8891.053785840306,20313.546214159695,7271.994843077695,21932.605156922305,5867.702666932979,23336.89733306702
Chronos (Amazon FM),2021-02-13,2021-03-13,4,13624.4,8698,10153.520627904532,17095.279372095465,7029.620921693339,20219.17907830666,5160.092688817611,22088.70731118239,3538.5557569815355,23710.244243018464
ARIMAX + MAPIE (Conformal),2021-02-13,2021-02-20,1,15099.564170938178,13132,14429.904614021278,15769.223727855078,13524.919954696561,16674.208387179795,12637.347191448544,17561.781150427814,11756.514903503452,18442.613438372904
ARIMAX + MAPIE (Conformal),2021-02-13,2021-02-27,2,13464.800648391687,14028,12795.141091474787,14134.460205308587,11890.15643215007,15039.444864633304,11002.583668902053,15927.017627881321,10121.751380956961,16807.849915826413
ARIMAX + MAPIE (Conformal),2021-02-13,2021-03-06,3,12001.91036231602,11895,11332.250805399119,12671.569919232923,10427.266146074402,13576.55457855764,9539.693382826386,14464.127341805655,8658.861094881295,15344.959629750747
ARIMAX + MAPIE (Conformal),2021-02-13,2021-03-13,4,10657.15780388968,8698,9987.49824697278,11326.81736080658,9082.513587648064,12231.802020131297,8194.940824400046,13119.374783379315,7314.108536454954,14000.207071324407
ARIMAX + MultiQT (Tracking),2021-02-13,2021-02-20,1,15099.564170938178,13132,14148.584206176207,16050.54413570015,12613.017928109899,17586.11041376646,12519.978215142472,17679.150126733883,11857.829943912004,18341.29839796435
ARIMAX + MultiQT (Tracking),2021-02-13,2021-02-27,2,13464.800648391687,14028,11517.595274954905,15412.006021828469,9793.406199533641,17136.195097249732,8759.213332514111,18170.387964269263,8465.993670958971,18463.607625824403
ARIMAX + MultiQT (Tracking),2021-02-13,2021-03-06,3,12001.91036231602,11895,9094.115086355727,14909.705638276315,6968.343096222181,17035.477628409863,5863.081035989392,18140.73968864265,5431.499752449327,18572.320972182715
ARIMAX + MultiQT (Tracking),2021-02-13,2021-03-13,4,10657.15780388968,8698,6786.157112448871,14528.15849533049,4335.898385109436,16978.417222669923,3748.5577110440317,17565.75789673533,3047.428004462464,18266.887603316896
Empirical Baseline,2021-02-20,2021-02-27,1,13132.0,14028,12467.0,14175.0,11196.0,15510.0,10712.0,17186.5,9633.25,18829.0
Empirical Baseline,2021-02-20,2021-03-06,2,13132.0,11895,11976.0,15126.5,9913.7,18028.800000000003,9473.45,19601.449999999997,8925.525,20943.799999999996
Empirical Baseline,2021-02-20,2021-03-13,3,13132.0,8698,11751.0,15911.0,9099.4,20260.600000000002,7833.0,21391.799999999996,7426.6,24980.19999999999
Empirical Baseline,2021-02-20,2021-03-20,4,13132.0,7052,11442.75,17932.25,7623.1,21475.2,6443.5,24723.249999999993,6145.4,27479.874999999993
"ARIMA(1,1,0)",2021-02-20,2021-02-27,1,10912.047399007075,14028,9739.808227960115,12084.286570054035,8684.75640694796,13139.33839106619,8053.350359369866,13770.744438644284,7505.699777191907,14318.395020822243
"ARIMA(1,1,0)",2021-02-20,2021-03-06,2,9852.84643613446,11895,7708.771736723105,11996.921135545814,5779.037624545565,13926.655247723353,4624.169432879176,15081.523439389743,3622.4935066968537,16083.199365572065
"ARIMA(1,1,0)",2021-02-20,2021-03-13,3,9410.548002946647,8698,6390.87167553584,12430.224330357454,3673.0687844614513,15148.027221431843,2046.5731494856027,16774.52285640769,635.8307519093978,18185.265253983896
"ARIMA(1,1,0)",2021-02-20,2021-03-20,4,9296.113618047228,7052,5498.855867064885,13093.37136902957,2081.2054387412,16511.021797353256,35.87922255473495,18556.34801353972,-1738.1362423507126,20330.363478445168
"ARIMA(2,1,0)",2021-02-20,2021-02-27,1,10850.858671655003,14028,9667.235293959167,12034.48204935084,8601.93733184174,13099.780011468267,7964.399381233518,13737.31796207649,7411.430287652018,14290.28705565799
"ARIMA(2,1,0)",2021-02-20,2021-03-06,2,9654.066181002292,11895,7501.757820242536,11806.374541762048,5564.613156008909,13743.519205995675,4405.310047221939,14902.822314782645,3399.7874918343496,15908.344870170235
